item_id,feature
9797582,young-adult
1047414,fiction
32802521,historical-fiction
110301,historical-fiction
28695373,paranormal
25527072,crime
13706751,romance
34095175,history
17300619,young-adult
34395778,fiction
34564824,crime
4445031,poetry
15776060,young-adult
23245161,crime
18489605,romance
20980663,paranormal
25382657,romance
34237433,fiction
24131969,fiction
2015379,historical-fiction
15790863,history
11684266,crime
23340744,young-adult
35300702,crime
25787337,young-adult
17981406,historical-fiction
7808125,children
17977405,paranormal
2881622,historical-fiction
10051496,young-adult
24707500,historical-fiction
294989,graphic
16142549,young-adult
160834,non-fiction
11404143,romance
15800724,romance
14761410,paranormal
26254445,non-fiction
379464,fiction
34936154,paranormal
22539053,history
11704970,historical-fiction
18486435,young-adult
23385395,young-adult
11160376,paranormal
35231017,historical-fiction
6429563,young-adult
16283675,young-adult
31436662,fiction
9662832,paranormal
20254480,non-fiction
1087708,historical-fiction
7945523,paranormal
26874741,young-adult
23289749,young-adult
23459410,fiction
6224431,young-adult
15762135,young-adult
34050922,paranormal
6155935,non-fiction
8588860,non-fiction
6810681,graphic
7841675,graphic
1701355,poetry
5413882,fiction
18621762,romance
11476857,paranormal
4546330,romance
30077958,paranormal
23492620,mystery
93480,romance
17082783,romance
27154575,poetry
21852339,fiction
16157744,graphic
45243,paranormal
21281646,historical-fiction
21412052,graphic
380685,young-adult
11493377,non-fiction
13511614,paranormal
11862954,young-adult
17797535,graphic
24592703,crime
30822550,young-adult
36178399,history
9832122,young-adult
1250249,romance
26864997,romance
18054204,fiction
32857,historical-fiction
1968418,history
30847427,mystery
26891972,young-adult
17305367,historical-fiction
3329792,children
33928736,romance
10432128,graphic
18765088,fiction
4494452,historical-fiction
15722769,romance
268461,history
22605752,non-fiction
21956155,young-adult
27761162,paranormal
6362005,young-adult
15705163,history
12243374,young-adult
19670,mystery
12443512,crime
16283292,crime
25897421,history
2192340,graphic
36266736,romance
2200553,crime
693192,young-adult
14589888,romance
3795084,graphic
864798,young-adult
25817783,graphic
10409616,crime
25570380,young-adult
7306686,historical-fiction
23343130,fiction
212520,non-fiction
3207024,children
22885377,historical-fiction
6582413,fantasy
24039429,romance
3191893,comics
15777281,fiction
5194780,fiction
1170175,paranormal
22030722,historical-fiction
30224096,crime
22728908,fiction
634135,history
498408,crime
31951280,crime
2429611,non-fiction
1516464,crime
8430963,young-adult
19082381,young-adult
7348915,romance
1483994,historical-fiction
232671,young-adult
23615339,romance
23591770,fiction
5536408,historical-fiction
17193818,graphic
7558612,young-adult
18940732,young-adult
18039470,fiction
33377345,fiction
13362420,fiction
15712132,romance
16044686,fiction
17725269,crime
480359,young-adult
909607,fiction
1219628,romance
21925362,young-adult
29102967,history
35381089,paranormal
12401863,paranormal
13586949,non-fiction
25893990,romance
18189180,romance
18954687,young-adult
26570516,historical-fiction
2423859,historical-fiction
1729688,history
58551,graphic
11163794,paranormal
13530480,fiction
588234,historical-fiction
425243,non-fiction
3590229,historical-fiction
1995242,young-adult
25915161,paranormal
26257714,history
328739,historical-fiction
35000093,young-adult
199399,fiction
579960,history
26875521,romance
6393583,mystery
19392134,fiction
11335838,paranormal
6460985,historical-fiction
17741343,romance
18221939,romance
22755464,fiction
6005956,fiction
12819469,fiction
25362113,paranormal
28621878,graphic
22495537,fiction
18525474,graphic
3599149,young-adult
277631,young-adult
8692416,fiction
23762612,history
8055428,romance
16055085,history
393283,young-adult
20793709,fiction
27420452,fantasy
34562,history
34339545,paranormal
25252590,romance
18711223,young-adult
1330834,poetry
18216,history
3960904,young-adult
555417,graphic
9518035,non-fiction
6314723,fiction
9825620,graphic
6856023,paranormal
22131120,paranormal
276214,historical-fiction
1677982,non-fiction
25117605,graphic
17683791,fiction
3935891,fiction
7201142,fiction
29911349,crime
70113,graphic
23752302,fiction
496697,young-adult
30760390,young-adult
17207145,historical-fiction
6578191,history
16174776,young-adult
25191524,young-adult
29396396,history
23116069,graphic
11503681,historical-fiction
15983823,young-adult
27307561,young-adult
33398240,historical-fiction
23257316,historical-fiction
905730,non-fiction
6314629,fiction
22323481,graphic
30847099,romance
106042,graphic
29516776,romance
18717091,historical-fiction
841868,young-adult
16052656,fiction
12457728,history
4659709,historical-fiction
16050876,romance
4286490,history
33868949,romance
79129,young-adult
11722024,historical-fiction
31670175,fiction
64656,graphic
657658,history
22718592,romance
115492,historical-fiction
22747820,graphic
1006876,fiction
2992815,graphic
477269,non-fiction
22413401,fiction
28818768,graphic
27209283,fiction
34884801,romance
21826085,paranormal
27267703,paranormal
5957702,crime
557609,non-fiction
22530324,crime
23348621,fiction
22217716,fiction
7015533,historical-fiction
550520,non-fiction
6343278,history
8574659,history
178924,young-adult
56404,historical-fiction
23702719,fiction
31624626,history
12438270,paranormal
18468026,history
358466,history
263407,young-adult
980503,young-adult
611326,graphic
5764,graphic
1989097,paranormal
23555821,fiction
30971961,fiction
31742512,paranormal
27241928,crime
420370,young-adult
29364424,historical-fiction
7685423,young-adult
21398139,romance
1371854,fiction
6602314,young-adult
3089191,young-adult
12002585,historical-fiction
1758722,non-fiction
1465025,historical-fiction
9091118,fiction
2659735,romance
34142585,romance
29369726,historical-fiction
16081355,paranormal
6104225,poetry
16386791,fiction
18656393,young-adult
29365426,fiction
3202615,history
6390157,children
28472203,romance
707701,graphic
18722396,crime
1232611,young-adult
2399468,graphic
17242435,young-adult
35554300,mystery
29996038,young-adult
774253,historical-fiction
17795050,young-adult
2852963,non-fiction
20935107,young-adult
30343,romance
17085498,romance
13511511,young-adult
8706041,young-adult
2857190,mystery
25066781,graphic
5865542,young-adult
11143388,romance
2470411,young-adult
21802706,paranormal
6941265,graphic
11413006,history
9641591,fiction
94781,paranormal
2021157,young-adult
23151114,historical-fiction
6696433,non-fiction
3881839,non-fiction
1207993,historical-fiction
17653087,paranormal
32479654,graphic
25980412,paranormal
843811,young-adult
5167954,historical-fiction
9646839,paranormal
31180481,crime
33964066,paranormal
6536169,paranormal
25162274,non-fiction
365089,paranormal
2370121,crime
28109927,romance
10566250,historical-fiction
14760870,young-adult
7083660,children
35294768,paranormal
32183057,fiction
10644472,young-adult
18170499,romance
940451,paranormal
2483565,children
34818571,graphic
748081,historical-fiction
2495445,fiction
13086864,young-adult
28170573,graphic
18299358,children
24356104,crime
27421463,paranormal
7725942,non-fiction
16248223,young-adult
31332855,fiction
32611034,romance
247985,romance
29864193,fiction
6963973,mystery
32863676,fiction
10198117,paranormal
4908222,graphic
1728576,history
27313913,fiction
340535,historical-fiction
18594359,young-adult
13235686,history
329843,non-fiction
17262348,children
528985,romance
15750746,history
11731782,young-adult
28236465,romance
31212885,crime
412215,historical-fiction
17790179,fiction
11322682,fiction
33146655,history
13706694,history
1910605,fiction
33400180,romance
2130081,historical-fiction
112037,history
7021986,romance
3422414,paranormal
30975865,graphic
18927614,historical-fiction
2664547,paranormal
17314796,romance
2266783,non-fiction
7000153,young-adult
32599485,young-adult
761120,fiction
9274849,poetry
16083403,young-adult
6017769,young-adult
1143201,history
24778060,romance
3419037,children
7722019,non-fiction
8267674,non-fiction
849292,fiction
28627932,fiction
18807701,romance
394405,non-fiction
6493803,paranormal
93834,historical-fiction
8238150,graphic
4340357,romance
13561895,romance
11982578,historical-fiction
28102537,crime
1937716,young-adult
17228215,romance
140452,young-adult
22782597,history
834224,graphic
1191155,non-fiction
21528881,fiction
5083582,non-fiction
3313382,history
23131077,paranormal
6599342,mystery
23001299,paranormal
11034469,non-fiction
863062,non-fiction
303565,history
17053925,graphic
20930200,young-adult
8872529,non-fiction
17251834,historical-fiction
1067612,fiction
7676140,young-adult
3244206,fiction
18747639,young-adult
856250,historical-fiction
10963799,paranormal
25158852,history
20563704,graphic
27815772,young-adult
9760507,fiction
8676161,historical-fiction
5444115,young-adult
20705700,historical-fiction
77394,young-adult
17608829,romance
17569383,fiction
15846227,non-fiction
4591449,romance
6845428,young-adult
109490,young-adult
20733565,young-adult
34685637,history
750109,romance
19038086,young-adult
16446713,historical-fiction
107702,history
111549,history
6978590,romance
19484079,fiction
269652,romance
20862711,history
13425735,history
12668517,young-adult
3674324,young-adult
33234270,fiction
7153585,history
163055,history
2376115,paranormal
7109277,fantasy
13486223,paranormal
720465,history
1452987,historical-fiction
12849226,young-adult
6398559,graphic
167008,graphic
6616812,crime
823030,non-fiction
1627855,non-fiction
23121800,crime
732363,young-adult
819664,young-adult
31846388,young-adult
880404,graphic
31951411,graphic
397690,history
15790910,graphic
177399,graphic
6150145,history
17792472,historical-fiction
8894004,fiction
18293427,romance
201841,fiction
911865,young-adult
13508783,children
17352584,graphic
6564776,fiction
22088738,historical-fiction
11175543,non-fiction
12365,fiction
14624324,history
29284794,crime
16122409,paranormal
2904769,history
20868818,graphic
8114303,graphic
29008298,romance
13550407,young-adult
34200379,paranormal
22748007,fiction
342354,young-adult
17312547,romance
6341685,fiction
7004886,young-adult
13641274,paranormal
978283,history
28532710,young-adult
10380634,historical-fiction
19182897,historical-fiction
24458215,romance
832619,historical-fiction
22892448,young-adult
17383928,fiction
538838,young-adult
557214,young-adult
168243,romance
30720751,young-adult
17303960,fiction
106520,fiction
17586616,graphic
29820784,graphic
1206219,historical-fiction
15848170,graphic
241160,history
31451176,crime
34564856,fiction
18052339,non-fiction
35446190,romance
185002,fiction
34373031,graphic
6888898,paranormal
9060123,fiction
20452213,fiction
28634268,graphic
103250,crime
16275210,young-adult
17662140,crime
15323,paranormal
26045486,fiction
25369829,historical-fiction
672892,young-adult
12425733,paranormal
3537970,history
1162039,history
25761161,graphic
7798145,young-adult
8535601,historical-fiction
27417262,romance
12942741,children
11693216,fiction
32787242,romance
25038983,young-adult
28542796,history
19386141,romance
35414582,young-adult
28084336,paranormal
1171408,historical-fiction
884846,non-fiction
31827388,paranormal
18210779,history
2853764,non-fiction
10178925,graphic
17847738,crime
2434509,fiction
2640268,history
28188394,crime
18693847,fiction
26141073,young-adult
1450620,crime
1937083,young-adult
11417569,history
1484358,crime
17272145,paranormal
24836625,fiction
1409024,historical-fiction
23156916,paranormal
12292907,non-fiction
23735606,young-adult
104908,paranormal
18686465,children
32332945,comics
12955227,non-fiction
17455461,romance
7895490,non-fiction
23642764,graphic
10020810,crime
845773,fiction
900977,children
17428634,young-adult
465935,historical-fiction
28012656,romance
17984400,historical-fiction
28501326,paranormal
741502,graphic
23526976,graphic
878128,crime
10224416,fiction
31936165,graphic
1579019,historical-fiction
569946,graphic
9994507,historical-fiction
640808,historical-fiction
8864559,historical-fiction
6092814,fiction
18706491,mystery
7816166,graphic
859354,historical-fiction
15803246,romance
13547042,fiction
15704783,romance
25543231,paranormal
25587642,paranormal
21422067,romance
1822723,history
7990240,fantasy
17728343,young-adult
12349065,non-fiction
33149269,fiction
25665316,crime
22753403,young-adult
236867,fiction
30748943,crime
22741276,paranormal
33129565,romance
29905110,paranormal
465957,fiction
3025387,history
33176842,fiction
19843,non-fiction
1930216,paranormal
25879583,young-adult
9921237,romance
25638245,paranormal
223031,historical-fiction
34823804,fiction
2747602,romance
811739,paranormal
25418263,romance
24995254,history
1780858,mystery
23547004,paranormal
34503826,romance
18625065,romance
18757203,fiction
1788074,historical-fiction
682760,fiction
25437900,paranormal
17899895,history
30817717,crime
2334525,fiction
2378589,historical-fiction
9301177,fiction
17658263,paranormal
8713862,romance
28433840,romance
9908865,romance
11393767,history
18801794,fiction
23838542,romance
10476044,fiction
13632367,paranormal
33013,history
6234474,non-fiction
25437986,fiction
1824195,graphic
9261147,paranormal
21910463,paranormal
23966889,fiction
18485147,romance
3409293,young-adult
18712128,non-fiction
32148097,romance
1078220,mystery
32737532,romance
10793565,paranormal
13416697,paranormal
977946,historical-fiction
19181735,romance
18000966,romance
33814857,history
6658659,young-adult
11185839,historical-fiction
7723427,graphic
19273388,romance
17600995,paranormal
8566010,young-adult
25891600,fiction
1937866,historical-fiction
220543,fiction
1041865,history
1910399,children
731689,poetry
22467996,young-adult
13423171,young-adult
23360849,romance
32601841,young-adult
51442,history
873537,fiction
17457646,children
9722054,non-fiction
34733405,paranormal
7899423,romance
927649,young-adult
2962520,young-adult
8920,historical-fiction
32707001,historical-fiction
13122689,romance
23995368,paranormal
18078002,paranormal
3250586,history
264840,graphic
30816822,young-adult
7040058,historical-fiction
1347301,historical-fiction
19546426,paranormal
9887217,mystery
2456375,paranormal
8508482,fantasy
30370347,history
6097035,historical-fiction
26367010,young-adult
8117826,young-adult
8020326,fiction
24156014,fiction
34812495,fiction
13585580,young-adult
6590101,non-fiction
16163025,paranormal
24995705,non-fiction
294621,historical-fiction
26096043,young-adult
33286549,romance
6478463,poetry
31365024,historical-fiction
1566868,mystery
10545757,paranormal
31228275,poetry
1457522,fiction
5802466,graphic
25562806,paranormal
2920773,history
25988979,crime
15729549,paranormal
33382452,romance
22745522,romance
25765861,romance
18904104,paranormal
6885191,history
2713778,history
26698948,historical-fiction
17937839,graphic
21802802,crime
16029675,historical-fiction
21566836,fiction
56529,non-fiction
2213661,young-adult
23554038,paranormal
7576483,historical-fiction
17874598,romance
18625556,romance
4131011,graphic
15788485,romance
2405189,romance
16044227,young-adult
373653,history
404879,fiction
7046461,non-fiction
32184445,romance
13507430,historical-fiction
836182,paranormal
2246092,historical-fiction
33410289,romance
25532794,fiction
953401,graphic
26832769,graphic
33869109,fiction
6678976,paranormal
16130179,young-adult
20176144,graphic
26767481,history
18339893,paranormal
18623309,young-adult
19447249,fiction
17730519,young-adult
13828891,crime
20941198,romance
817492,history
12907228,paranormal
80795,historical-fiction
23482080,fiction
6972143,historical-fiction
26029290,young-adult
3437182,fiction
16564710,non-fiction
2812714,historical-fiction
23013530,romance
17836009,history
2037464,graphic
16247648,young-adult
33978113,fiction
3835707,paranormal
22748926,romance
15760759,fiction
25779193,historical-fiction
29354181,crime
7529473,graphic
1488758,mystery
13414873,paranormal
34618118,fiction
696336,paranormal
11962777,young-adult
17855214,young-adult
22593724,young-adult
33299920,romance
28462567,fiction
32575039,crime
8347147,graphic
25887905,fiction
30315772,graphic
22664872,graphic
24973902,fiction
18246693,paranormal
528369,young-adult
22488005,young-adult
836384,young-adult
102460,graphic
15732924,historical-fiction
31226613,history
26227985,paranormal
233747,young-adult
25817003,young-adult
16001434,history
23630244,children
1262150,history
6609765,fiction
10206287,non-fiction
653773,non-fiction
7248006,romance
29143,romance
6164043,history
27750378,history
580473,non-fiction
7894520,romance
25443303,young-adult
133632,graphic
18107089,romance
9426481,crime
2880235,graphic
15817351,romance
26186131,fiction
17273109,fiction
29540873,graphic
15956590,fiction
11208449,young-adult
629798,historical-fiction
818095,young-adult
25761057,young-adult
26062700,young-adult
14785619,mystery
14612522,young-adult
12764968,romance
1641570,history
18216743,young-adult
19218974,romance
12941235,history
25422188,historical-fiction
252949,graphic
25766489,poetry
34318112,paranormal
22886380,young-adult
6992824,graphic
23219353,paranormal
25773165,young-adult
19466776,history
45788,history
1249437,historical-fiction
3094535,historical-fiction
16164271,graphic
14739231,graphic
16065380,fiction
21408675,non-fiction
27335087,fiction
26512509,crime
520934,fiction
31546192,fiction
646676,historical-fiction
12366049,paranormal
15827230,young-adult
10047065,crime
8547476,graphic
32336144,fiction
857001,young-adult
1309961,history
6512222,young-adult
16074577,paranormal
25848656,history
1889059,children
15818563,historical-fiction
60214,paranormal
32072357,young-adult
6721381,history
491091,young-adult
31930910,non-fiction
30278,paranormal
440020,mystery
2035491,non-fiction
302176,young-adult
22885146,paranormal
8461993,young-adult
1022195,paranormal
19547278,romance
17731081,romance
2242958,history
17612685,paranormal
15741338,paranormal
9570167,romance
559611,fiction
24202895,young-adult
11829420,history
1136898,young-adult
33967283,fiction
209831,fiction
18051350,young-adult
28397530,graphic
13260174,historical-fiction
13548188,romance
9465926,young-adult
9232624,fiction
18310070,graphic
31125640,history
9928476,romance
135054,non-fiction
22084923,paranormal
17170394,fiction
24000899,crime
35058,historical-fiction
563488,young-adult
6352392,historical-fiction
19230957,history
1554095,young-adult
6895379,history
13837900,non-fiction
20928113,young-adult
5939434,fiction
23599023,history
27313900,fantasy
29807147,young-adult
9004369,young-adult
26828868,crime
2793921,history
26125281,young-adult
13838917,non-fiction
3216166,history
7949615,romance
32800987,fiction
28238717,young-adult
32186873,romance
8254,historical-fiction
15835264,fiction
8911925,fiction
18965273,fiction
22542366,children
6387192,young-adult
33958806,historical-fiction
23467672,children
25640249,paranormal
13501966,history
17405235,fantasy
5071308,graphic
604778,non-fiction
18733288,fiction
6948514,historical-fiction
16069752,fiction
1342803,fiction
27973957,romance
6009288,fiction
15729184,fiction
588682,paranormal
24013838,fantasy
3055856,romance
19413217,historical-fiction
24778909,graphic
1208028,non-fiction
16205168,paranormal
17349010,historical-fiction
18051477,paranormal
8707526,romance
6069188,young-adult
1978366,history
28935407,fiction
10853326,paranormal
358675,graphic
32905253,romance
24945319,non-fiction
17452245,young-adult
18040401,paranormal
20702052,young-adult
2104061,paranormal
33024431,historical-fiction
33615914,crime
859650,graphic
17278716,young-adult
11360621,paranormal
414467,historical-fiction
25908725,fiction
13432786,young-adult
9508578,history
3012122,non-fiction
43369,history
24611487,non-fiction
17332032,young-adult
1537596,paranormal
29102713,paranormal
1483368,historical-fiction
23906113,young-adult
16100219,history
4125830,non-fiction
10436377,graphic
18316822,young-adult
6033442,non-fiction
2939535,young-adult
24756138,paranormal
20530957,crime
317082,non-fiction
18769743,romance
13773359,non-fiction
10633141,historical-fiction
11641272,young-adult
31009034,fiction
17372149,young-adult
18092191,paranormal
18221606,crime
4494813,paranormal
524878,historical-fiction
490130,romance
18782423,fiction
18771046,fiction
13557575,paranormal
34304864,young-adult
15808659,paranormal
25489015,historical-fiction
30652372,young-adult
27221895,non-fiction
1446800,history
34221741,paranormal
28054002,non-fiction
25601716,fiction
30121699,crime
87265,fiction
36208126,paranormal
20523715,romance
22392229,romance
1084277,young-adult
3303553,romance
6560764,crime
13613069,fiction
31082291,young-adult
27070548,paranormal
16163023,paranormal
23297651,historical-fiction
33255883,paranormal
12625520,historical-fiction
18877732,fiction
11421359,young-adult
26147922,romance
10808965,young-adult
30612077,non-fiction
13018359,paranormal
21065454,young-adult
1079123,fiction
3287262,graphic
501122,young-adult
7176083,young-adult
8064659,crime
777422,graphic
18265456,children
15810153,young-adult
32761693,graphic
276937,fiction
7852948,history
9339901,romance
3156000,graphic
18718084,history
304079,fiction
6168231,fiction
12720511,history
129494,historical-fiction
4579009,crime
7104997,non-fiction
21412681,romance
29543263,paranormal
34211196,non-fiction
18404438,graphic
31553855,romance
30229143,young-adult
23631202,paranormal
11861062,young-adult
17194468,graphic
1062768,romance
11959394,romance
2244992,paranormal
28900838,young-adult
3438912,history
17240521,paranormal
22594529,romance
31675260,fiction
5833868,history
33813,historical-fiction
17334075,fiction
11790309,historical-fiction
776224,non-fiction
29517069,romance
288139,history
16143371,paranormal
17318564,children
17454124,graphic
1101587,fiction
16104287,young-adult
36107967,graphic
17383811,poetry
21897496,fiction
2358874,fiction
29908084,romance
27560337,non-fiction
7818377,paranormal
8120187,graphic
22886456,paranormal
2235559,fiction
157455,historical-fiction
38762,history
34725354,crime
565934,historical-fiction
513539,graphic
1005167,fiction
484274,historical-fiction
6542268,romance
25645933,paranormal
24750688,paranormal
18628376,non-fiction
14475470,graphic
15833557,non-fiction
951413,historical-fiction
13568903,young-adult
25897305,history
20635043,historical-fiction
450864,graphic
9739698,romance
26128897,romance
10324963,historical-fiction
22321927,paranormal
2579076,crime
6904389,fiction
31676869,graphic
23010923,young-adult
6213732,history
31706251,young-adult
26130539,graphic
920583,history
9867704,historical-fiction
6641501,romance
1855396,paranormal
8508495,graphic
2421754,fiction
733547,fiction
7801429,historical-fiction
1102472,mystery
485876,history
13255959,romance
26005610,fantasy
4427020,graphic
8762924,romance
1225868,history
7045873,graphic
17910360,paranormal
17343496,historical-fiction
203073,history
13045593,historical-fiction
29095973,paranormal
142238,historical-fiction
35217557,fiction
123494,crime
1196319,poetry
17213463,paranormal
6375069,romance
6034048,young-adult
332806,historical-fiction
7630228,graphic
569413,young-adult
3463281,young-adult
4772556,historical-fiction
25414407,young-adult
459581,young-adult
25054299,graphic
13331633,fiction
27836011,graphic
29614058,young-adult
36205254,romance
23637203,crime
22033520,fiction
81977,history
23536382,fiction
10659501,paranormal
22461694,paranormal
4015745,historical-fiction
628478,graphic
483091,historical-fiction
3164412,young-adult
8598998,history
742868,historical-fiction
15990309,historical-fiction
28767180,romance
5743494,fiction
12958913,graphic
20762834,romance
12394136,young-adult
22327907,historical-fiction
12267664,young-adult
9446190,graphic
169919,romance
146691,historical-fiction
612022,romance
30325327,young-adult
18626093,historical-fiction
38886,young-adult
5016040,non-fiction
2023067,historical-fiction
18228128,crime
30308495,history
24019187,young-adult
916399,graphic
21802180,fiction
13611902,historical-fiction
590196,historical-fiction
23492818,non-fiction
17225388,young-adult
23212627,romance
25737416,paranormal
518387,historical-fiction
35888335,young-adult
149667,historical-fiction
3734044,young-adult
7431,historical-fiction
20589277,graphic
13533706,historical-fiction
1214018,historical-fiction
28964305,fiction
36098906,history
23598256,historical-fiction
17235621,paranormal
426633,fiction
24013759,romance
18948129,young-adult
31178815,graphic
8697266,paranormal
17841000,fiction
30073054,romance
21527179,romance
8691446,paranormal
1372,historical-fiction
25814028,graphic
16080675,history
17804407,graphic
22740975,fiction
179579,young-adult
5293573,historical-fiction
17381138,historical-fiction
22036620,romance
17900105,romance
34100196,history
11255295,romance
18148554,young-adult
34510021,romance
3159880,graphic
11738285,historical-fiction
3239208,fiction
27822680,paranormal
19162510,crime
28717522,historical-fiction
21953012,crime
740503,historical-fiction
13609206,historical-fiction
31116194,fiction
23515147,fiction
1403277,romance
13527358,young-adult
24329105,fiction
6933158,graphic
9517185,history
1062952,poetry
13584329,paranormal
24906251,mystery
1661555,poetry
12991188,history
31151634,romance
17313205,romance
6473942,historical-fiction
16042880,historical-fiction
4650060,history
18003978,young-adult
21942783,romance
20715377,crime
28428323,fiction
23652741,fantasy
17160805,young-adult
34261228,romance
13375875,fiction
25814921,fiction
135755,graphic
23012540,historical-fiction
34217765,paranormal
894862,young-adult
13082148,romance
31347105,romance
252309,non-fiction
6187034,non-fiction
152446,historical-fiction
27995057,young-adult
6758090,non-fiction
3284192,young-adult
558281,fiction
30311415,romance
11709512,graphic
35093733,fiction
28119737,crime
34704027,paranormal
40187,history
7653482,young-adult
21370980,historical-fiction
33024599,graphic
164225,historical-fiction
11486842,paranormal
9643664,history
20746287,young-adult
18620403,young-adult
7903841,history
29500031,crime
6573379,fiction
12576693,young-adult
35224199,fiction
34506933,paranormal
349467,history
527744,historical-fiction
910549,fiction
23460975,fantasy
17572597,crime
6114415,romance
15528075,young-adult
18875390,romance
18144797,historical-fiction
15727345,fiction
34457643,history
31188866,comics
21888223,romance
16040371,historical-fiction
636285,crime
25396316,fiction
17404184,paranormal
6483023,fiction
18587556,young-adult
10559531,fiction
17885406,non-fiction
8492327,romance
353487,paranormal
23446118,young-adult
9996727,historical-fiction
3980124,paranormal
16074827,young-adult
18409806,historical-fiction
2617875,history
24775207,young-adult
27850426,paranormal
19043685,young-adult
17332775,romance
17713367,history
23629676,fiction
32713043,history
17450664,young-adult
17873976,historical-fiction
10852889,historical-fiction
14758862,fiction
20423680,paranormal
22726783,non-fiction
1193013,graphic
4448473,non-fiction
762110,fiction
9276586,graphic
18379570,graphic
2113260,young-adult
25713746,history
18270516,historical-fiction
10841307,fiction
8838518,paranormal
230004,history
18296061,children
185906,crime
1090607,historical-fiction
33785139,non-fiction
9836858,young-adult
18221354,historical-fiction
6954133,history
25244946,paranormal
9566003,paranormal
26836098,fiction
7977061,crime
11926860,graphic
22050553,historical-fiction
32726969,romance
6951861,romance
1031654,fiction
25667449,graphic
20560952,paranormal
9946923,paranormal
19145861,historical-fiction
24995364,young-adult
7162323,young-adult
1989376,non-fiction
91544,history
30124915,young-adult
5584946,history
25270436,romance
15984342,graphic
23711190,fiction
15808767,romance
26071037,graphic
2522980,romance
289782,historical-fiction
279769,romance
8911573,fiction
32592,historical-fiction
19274338,young-adult
765144,history
9364808,young-adult
22608841,historical-fiction
18890922,paranormal
900269,historical-fiction
34112148,romance
22307882,fiction
2587444,historical-fiction
1456225,fiction
7163513,young-adult
13550710,fantasy
4769567,historical-fiction
11706900,comics
752983,history
16005357,fiction
25259629,romance
7606550,non-fiction
13589183,historical-fiction
27793819,romance
10102974,non-fiction
393076,young-adult
20685715,paranormal
2856383,children
28589369,romance
2294839,non-fiction
35831132,young-adult
32466912,paranormal
10196565,young-adult
14626259,romance
77762,young-adult
29841640,romance
3076016,graphic
382640,paranormal
2021894,graphic
11852586,fiction
30130317,young-adult
5201814,young-adult
23599577,fiction
23215446,mystery
239053,graphic
411450,young-adult
36447775,romance
607911,graphic
5146601,paranormal
22267749,historical-fiction
